Filename,Deepfake,Genuine
G3002_1_S0146.wav,0.13666667,0.376
G3002_1_S0147.wav,0.10428572,0.216
G3002_1_S0150.wav,0.111666664,0.26999998
G3002_1_S0152.wav,0.14,0.39999998
G3002_1_S0153.wav,0.105,0.2422222
G3002_1_S0154.wav,0.12399999,0.3333333
G3002_1_S0156.wav,0.09571428,0.20333333
G3002_1_S0157.wav,0.098,0.26714283
G3002_1_S0159.wav,0.089999996,0.29444444
G3002_1_S0160.wav,0.12166667,0.2411111
G3002_1_S0162.wav,0.08555555,0.21444444
G3002_1_S0166.wav,0.103999995,0.22999999
G3002_1_S0167.wav,0.12166667,0.27181816
G3002_1_S0168.wav,0.10666667,0.25181818
G3002_1_S0170.wav,0.15333332,0.20666665
G3002_1_S0171.wav,0.114999995,0.29285714
G3002_1_S0172.wav,0.114999995,0.18733333
G3002_1_S0173.wav,0.101428576,0.32
G3002_1_S0174.wav,0.10166667,0.18416665
G3002_1_S0175.wav,0.11,0.24833333
G3002_1_S0176.wav,0.11,0.50285715
G3002_1_S0182.wav,0.09833333,0.24777777
G3002_1_S0184.wav,0.078571424,0.15583333
G3002_1_S0186.wav,0.09166667,0.18818182
G3002_1_S0187.wav,0.103333324,0.20615384
G3002_1_S0189.wav,0.095,0.22181818
G3002_1_S0190.wav,0.111999996,0.27333334
G3002_1_S0191.wav,0.086,0.2623077
G3002_1_S0194.wav,0.12,0.28363636
G3002_1_S0195.wav,0.11333333,0.288
G3002_1_S0196.wav,0.1025,0.2888889
G3002_1_S0197.wav,0.094,0.24799998
G3002_1_S0199.wav,0.16,0.26
G3002_1_S0200.wav,0.11285714,0.21777779
G3002_1_S0203.wav,0.085,0.19454546
G3002_1_S0205.wav,0.12,0.39
G3002_1_S0210.wav,0.13,0.3257143
G3002_1_S0212.wav,0.105714284,0.39874998
G3002_1_S0214.wav,0.10833333,0.21571428
G3002_1_S0215.wav,0.12,0.22272727
G3002_1_S0216.wav,0.13399999,0.26166666
G3002_1_S0217.wav,0.11399999,0.28777778
G3002_1_S0218.wav,0.09375,0.20111111
G3002_1_S0219.wav,0.09166667,0.2622222
G3002_1_S0220.wav,0.107499994,0.20111111
G3002_1_S0221.wav,0.116000004,0.2075
G3002_1_S0222.wav,0.105714284,0.308
G3002_1_S0224.wav,0.118333325,0.28714284
G3002_1_S0225.wav,0.108571425,0.31125
G3002_1_S0227.wav,0.13,0.3125
G3002_1_S0228.wav,0.11399999,0.29833335
G3002_1_S0229.wav,0.12399999,0.32142857
G3002_1_S0230.wav,0.098,0.31714284
G3002_1_S0233.wav,0.1325,0.22444445
G3002_1_S0237.wav,0.16749999,0.21444444
G3002_1_S0238.wav,0.099999994,0.22
G3002_1_S0239.wav,0.08833333,0.22285715
